"Adams Car Assembly (Adams 2019)"
	"2019-11-"	"2 21:36:10"

" Result ID"	"Result Type"	"I Marker ID"	"J Marker ID"	"Result Title"
"chassis_accelerations"	"User Result"	"     (N/A)"	"     (N/A)"	"Chassis Accelerations"

".horus.simu100min_swept.chassis_accelerations.TIME"	".horus.simu100min_swept.chassis_accelerations.longitudinal"	".horus.simu100min_swept.chassis_accelerations.lateral"	".horus.simu100min_swept.chassis_accelerations.vertical"	".horus.simu100min_swept.chassis_accelerations.corrected_lateral"	".horus.simu100min_swept.chassis_accelerations.roll"	".horus.simu100min_swept.chassis_accelerations.pitch"	".horus.simu100min_swept.chassis_accelerations.yaw"
0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.049628e-04	0.000000e+00	0.000000e+00	0.000000e+00
0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	4.346260e-04	0.000000e+00	0.000000e+00	0.000000e+00
0.000000e+00	1.650113e-05	0.000000e+00	0.000000e+00	4.346256e-04	1.627173e-05	7.705548e-03	0.000000e+00
1.000000e-02	1.512067e-05	0.000000e+00	1.766100e-07	4.346239e-04	2.729542e-05	5.949478e-03	1.946082e-05
2.000000e-02	1.496225e-05	0.000000e+00	3.174935e-07	4.346180e-04	1.295632e-05	4.550334e-03	2.051240e-05
3.000000e-02	1.488292e-05	0.000000e+00	4.582146e-07	4.346105e-04	0.000000e+00	3.130438e-03	1.972310e-05
4.000000e-02	1.482820e-05	0.000000e+00	5.688836e-07	4.346020e-04	-1.278695e-05	1.824786e-03	1.690079e-05
5.000000e-02	1.477002e-05	0.000000e+00	6.359908e-07	4.345930e-04	-2.164695e-05	7.171841e-04	1.219544e-05
6.000000e-02	1.469065e-05	0.000000e+00	6.562224e-07	4.345840e-04	-2.707738e-05	-1.565908e-04	6.004232e-06
7.000000e-02	1.458011e-05	0.000000e+00	6.328930e-07	4.345757e-04	-2.910374e-05	-7.945971e-04	0.000000e+00
8.000000e-02	1.443640e-05	0.000000e+00	5.736709e-07	4.345684e-04	-2.807185e-05	-1.215848e-03	-8.755109e-06
9.000000e-02	1.426574e-05	0.000000e+00	4.887937e-07	4.345625e-04	-2.452125e-05	-1.450474e-03	-1.629958e-05
1.000000e-01	1.408212e-05	0.000000e+00	3.896302e-07	4.345582e-04	-1.908084e-05	-1.532622e-03	-2.338860e-05
1.100000e-01	1.390662e-05	0.000000e+00	2.876030e-07	4.345556e-04	-1.239113e-05	-1.495578e-03	-2.972307e-05
1.200000e-01	1.375368e-05	0.000000e+00	1.918037e-07	4.345548e-04	0.000000e+00	-1.375642e-03	-3.507904e-05
1.300000e-01	1.362129e-05	0.000000e+00	1.074282e-07	4.345559e-04	0.000000e+00	-1.211366e-03	-3.930296e-05
1.400000e-01	1.350190e-05	0.000000e+00	0.000000e+00	4.345587e-04	9.238437e-06	-1.032989e-03	-4.234836e-05
1.500000e-01	1.338848e-05	0.000000e+00	0.000000e+00	4.345632e-04	1.541795e-05	-8.611297e-04	-4.426169e-05
