"Adams Car Assembly (Adams 2019)"
	"2019-11-"	"2 21:36:10"

" Result ID"	"Result Type"	"I Marker ID"	"J Marker ID"	"Result Title"
"chassis_velocities"	"User Result"	"     (N/A)"	"     (N/A)"	"Chassis Velocities"

".horus.simu100min_swept.chassis_velocities.TIME"	".horus.simu100min_swept.chassis_velocities.longitudinal"	".horus.simu100min_swept.chassis_velocities.lateral"	".horus.simu100min_swept.chassis_velocities.vertical"	".horus.simu100min_swept.chassis_velocities.roll"	".horus.simu100min_swept.chassis_velocities.pitch"	".horus.simu100min_swept.chassis_velocities.yaw"
0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.000000e+00	9.997551e+01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.000000e+00	9.997489e+01	1.069340e-01	2.238452e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e-02	9.997490e+01	1.069340e-01	2.238452e+00	0.000000e+00	6.362651e-05	0.000000e+00
2.000000e-02	9.997491e+01	1.069340e-01	2.238450e+00	0.000000e+00	1.091299e-04	0.000000e+00
3.000000e-02	9.997491e+01	1.069340e-01	2.238447e+00	0.000000e+00	1.404342e-04	0.000000e+00
4.000000e-02	9.997492e+01	1.069340e-01	2.238445e+00	0.000000e+00	1.586821e-04	0.000000e+00
5.000000e-02	9.997492e+01	1.069340e-01	2.238442e+00	0.000000e+00	1.658539e-04	0.000000e+00
6.000000e-02	9.997493e+01	1.069340e-01	2.238440e+00	0.000000e+00	1.642880e-04	0.000000e+00
7.000000e-02	9.997493e+01	1.069340e-01	2.238437e+00	0.000000e+00	1.563421e-04	0.000000e+00
8.000000e-02	9.997494e+01	1.069340e-01	2.238435e+00	0.000000e+00	1.441836e-04	0.000000e+00
9.000000e-02	9.997494e+01	1.069340e-01	2.238433e+00	0.000000e+00	1.296788e-04	0.000000e+00
1.000000e-01	9.997495e+01	1.069339e-01	2.238431e+00	0.000000e+00	1.143526e-04	0.000000e+00
1.100000e-01	9.997495e+01	1.069339e-01	2.238429e+00	0.000000e+00	9.939684e-05	0.000000e+00
1.200000e-01	9.997496e+01	1.069339e-01	2.238428e+00	0.000000e+00	8.564042e-05	0.000000e+00
1.300000e-01	9.997496e+01	1.069339e-01	2.238426e+00	0.000000e+00	7.352676e-05	0.000000e+00
1.400000e-01	9.997497e+01	1.069338e-01	2.238425e+00	0.000000e+00	6.319687e-05	0.000000e+00
1.500000e-01	9.997497e+01	1.069338e-01	2.238424e+00	0.000000e+00	5.458557e-05	0.000000e+00
